imu_now,imu_mean,imu_std,imu_max,imu_min,imu_range,imu_max_diff,imu_mean_diff,imu_rate,label
0.9707,1.3358,0.2163,1.5896,0.9707,0.6189,0.2277,0.1329,-0.2277,speed_hump
1.0221,1.0158,0.0102,1.0393,1.0042,0.0351,0.0194,0.0097,-0.0172,braking
1.0111,1.0016,0.0135,1.0237,0.9812,0.0425,0.0425,0.0184,0.0133,normal
1.0323,1.0159,0.0106,1.0323,0.9948,0.0374,0.0196,0.0104,0.0093,braking
1.0048,1.0026,0.013,1.0245,0.9747,0.0498,0.0498,0.0141,0.0029,normal
0.9962,1.2008,0.8579,3.6846,0.2548,3.4298,3.4298,0.769,0.7414,pothole
0.9955,1.0002,0.0097,1.0182,0.984,0.0342,0.0141,0.0085,-0.0086,braking
1.0051,1.1945,0.7744,3.4661,0.458,3.0081,3.0081,0.6744,0.5471,pothole
1.0085,1.0009,0.0093,1.0111,0.9804,0.0307,0.0254,0.0121,0.0016,braking
1.0093,1.0003,0.0088,1.0126,0.9826,0.03,0.0183,0.0123,0.0097,normal
1.0084,1.0057,0.0089,1.0194,0.9853,0.0341,0.029,0.0119,0.0012,normal
0.9746,0.9829,0.0092,0.9974,0.964,0.0334,0.0284,0.01,-0.0076,braking
1.0076,1.5887,0.3663,2.0068,1.0076,0.9992,0.4015,0.2217,-0.3219,speed_hump
1.0311,1.0069,0.0116,1.0311,0.9873,0.0438,0.0182,0.0131,0.0168,normal
1.0012,1.0016,0.0077,1.0169,0.9925,0.0245,0.0245,0.01,0.0087,normal
0.9957,1.1859,0.8298,3.5946,0.2939,3.3007,3.3007,0.7478,0.7018,pothole
1.0082,0.9975,0.0113,1.0107,0.9764,0.0344,0.0344,0.0193,0.0131,normal
0.9813,0.9927,0.0064,1.0028,0.9813,0.0215,0.0215,0.009,-0.0215,normal
0.9895,0.9896,0.0066,1.0034,0.9779,0.0254,0.0175,0.0077,-0.004,braking
1.0033,1.0032,0.0077,1.0143,0.9858,0.0285,0.0198,0.0094,-0.011,braking
0.97,1.0645,0.4791,2.3687,0.3206,2.0481,2.0481,0.4616,0.6494,pothole
0.9936,1.0058,0.0077,1.0168,0.9922,0.0246,0.019,0.0086,-0.019,normal
1.0036,0.9993,0.0112,1.0157,0.9807,0.035,0.035,0.0141,-0.0027,normal
1.0136,1.0016,0.0102,1.0196,0.9906,0.029,0.029,0.0161,0.0185,normal
1.0055,1.5648,0.3548,1.9827,1.0055,0.9772,0.3494,0.2148,-0.3297,speed_hump
0.9703,0.9867,0.0129,1.0095,0.9654,0.0441,0.0349,0.0149,-0.0106,braking
0.9965,1.07,0.4915,2.399,0.288,2.111,2.111,0.4749,0.7085,pothole
0.9944,1.0644,0.4931,2.4002,0.2852,2.115,2.115,0.4788,0.7092,pothole
0.9793,0.9995,0.0132,1.0148,0.9717,0.043,0.0308,0.0149,-0.026,normal
0.9855,0.9855,0.0068,0.994,0.9684,0.0256,0.0256,0.007,-0.0003,braking
1.004,1.4483,0.2807,1.8042,1.004,0.8002,0.281,0.1766,-0.281,speed_hump
0.9957,1.1247,0.5973,2.8359,0.4064,2.4294,2.4294,0.5471,0.5893,pothole
1.0243,1.0142,0.0107,1.0281,0.9975,0.0306,0.0264,0.0097,-0.0039,braking
1.0009,1.185,0.8327,3.5961,0.2678,3.3283,3.3283,0.7456,0.7331,pothole
0.9868,0.9969,0.012,1.0231,0.9816,0.0415,0.0345,0.0142,-0.0076,normal
0.9774,1.1313,0.6143,2.8974,0.4133,2.4841,2.4841,0.5571,0.564,pothole
0.9943,1.0009,0.0139,1.0268,0.9784,0.0484,0.0276,0.0093,-0.0036,normal
1.0001,1.0016,0.014,1.0224,0.9713,0.0511,0.0388,0.0172,-0.0032,normal
1.0002,1.6382,0.4062,2.1288,1.0002,1.1286,0.3866,0.25,-0.3866,speed_hump
0.9823,0.9944,0.0096,1.0084,0.977,0.0314,0.0232,0.0099,0.0054,normal
0.9993,1.4979,0.3145,1.886,0.9967,0.8893,0.3095,0.1973,-0.3054,speed_hump
1.0072,1.0109,0.0096,1.0317,0.9956,0.0361,0.0245,0.0142,-0.0245,normal
0.9948,0.9992,0.0076,1.0144,0.9894,0.025,0.0217,0.0103,0.0054,normal
0.9988,1.4665,0.2885,1.8067,0.9982,0.8085,0.3191,0.1796,-0.2988,speed_hump
1.0081,1.0036,0.0149,1.0405,0.9838,0.0567,0.0453,0.0171,-0.0324,normal
1.0168,1.0026,0.0103,1.0168,0.9832,0.0337,0.0155,0.0111,0.0086,normal
0.9857,1.5487,0.3453,1.9505,0.9857,0.9647,0.3398,0.2112,-0.3398,speed_hump
0.9552,0.9724,0.0122,0.997,0.9552,0.0418,0.0227,0.0097,-0.0015,braking
0.9771,1.111,0.5271,2.6304,0.5088,2.1216,2.1216,0.4791,0.4683,pothole
1.026,1.0045,0.0152,1.0288,0.9818,0.047,0.0238,0.0097,-0.0028,braking
1.0166,0.9979,0.0129,1.0166,0.9747,0.0419,0.0391,0.0147,0.0028,normal
1.0154,1.0018,0.0145,1.031,0.9761,0.0549,0.047,0.016,0.0084,normal
0.9817,1.2385,0.1564,1.4359,0.9817,0.4543,0.1918,0.1004,-0.1506,speed_hump
1.0291,1.0123,0.0127,1.0291,0.9844,0.0447,0.0367,0.0149,0.0174,braking
0.9958,1.1638,0.7825,3.4136,0.2488,3.1648,3.1648,0.718,0.747,pothole
0.9952,1.0025,0.0065,1.0152,0.9928,0.0224,0.0145,0.0072,-0.002,braking
1.0113,1.0009,0.0105,1.013,0.9837,0.0293,0.0264,0.0106,-0.0016,normal
0.9942,1.1871,0.7271,3.3352,0.5723,2.7629,2.7629,0.6209,0.4219,pothole
0.9849,1.4887,0.3159,1.8717,0.9678,0.904,0.3496,0.199,-0.3141,speed_hump
1.0016,1.0065,0.011,1.0182,0.9779,0.0403,0.0378,0.0156,-0.014,normal
1.0118,1.0033,0.0075,1.0189,0.9914,0.0276,0.0176,0.0073,-0.0071,normal
1.0228,0.999,0.012,1.0228,0.975,0.0478,0.0367,0.0141,0.0321,normal
0.9892,1.2108,0.8139,3.6092,0.4898,3.1194,3.1194,0.702,0.4994,pothole
0.999,0.9909,0.0115,1.012,0.9751,0.0369,0.0276,0.0144,0.0239,normal
0.9771,0.9989,0.0096,1.0103,0.9771,0.0331,0.0295,0.0122,-0.0295,normal
0.9873,0.9945,0.01,1.008,0.9752,0.0328,0.0244,0.0136,-0.0065,normal
1.0036,0.9959,0.0085,1.0071,0.9786,0.0286,0.0283,0.0125,0.0079,normal
1.0257,1.0082,0.0137,1.039,0.9912,0.0478,0.0255,0.0095,-0.0133,braking
0.9995,0.9943,0.0075,1.0055,0.9812,0.0243,0.0243,0.0098,0.0043,normal
1.0404,1.0186,0.0126,1.0404,1.0017,0.0387,0.0169,0.0091,0.0169,braking
0.9829,1.0762,0.4229,2.2721,0.5241,1.748,1.748,0.4039,0.4587,pothole
1.0169,1.3466,0.214,1.6294,1.0068,0.6226,0.2059,0.1372,-0.199,speed_hump
0.9894,1.0558,0.4095,2.1636,0.4059,1.7577,1.7577,0.4003,0.5835,pothole
1.0047,1.6117,0.3867,2.0621,0.9967,1.0654,0.3846,0.2359,-0.3409,speed_hump
0.984,0.9965,0.012,1.0178,0.9754,0.0424,0.0424,0.0141,-0.0133,normal
1.0076,1.112,0.5758,2.744,0.3681,2.3759,2.3759,0.5359,0.6395,pothole
0.9899,1.1292,0.5502,2.7292,0.549,2.1802,2.1802,0.4904,0.4409,pothole
1.0051,1.0045,0.0113,1.0326,0.9912,0.0414,0.0275,0.0096,-0.0275,braking
0.9663,0.9865,0.0101,1.0064,0.9663,0.04,0.0246,0.0112,-0.0175,braking
1.0033,1.2114,0.7875,3.5411,0.5638,2.9772,2.9772,0.6799,0.4395,pothole
1.0084,1.0,0.0142,1.0316,0.9838,0.0478,0.043,0.018,0.0187,normal
1.0067,1.633,0.3989,2.1348,1.0067,1.128,0.4131,0.2503,-0.3266,speed_hump
1.0131,0.9996,0.0125,1.0131,0.9811,0.032,0.0318,0.0174,0.0127,normal
0.9906,0.9939,0.0142,1.0193,0.9726,0.0467,0.0335,0.0168,0.018,normal
0.999,1.001,0.011,1.0148,0.9787,0.0362,0.0357,0.0157,0.0051,normal
0.9974,1.0952,0.5265,2.5635,0.3537,2.2099,2.2099,0.496,0.6438,pothole
0.9924,1.4773,0.2987,1.8403,0.9924,0.848,0.3074,0.1855,-0.3074,speed_hump
1.0283,1.1309,0.5416,2.7143,0.5963,2.1181,2.1181,0.4829,0.432,pothole
0.9866,1.0038,0.0123,1.0226,0.9866,0.0361,0.0244,0.0107,-0.0076,normal
0.9867,1.5184,0.3225,1.8813,0.9867,0.8946,0.364,0.1973,-0.364,speed_hump
0.9862,1.0026,0.0082,1.014,0.9862,0.0278,0.0162,0.0085,-0.0161,normal
0.9624,0.9891,0.0145,1.0113,0.9624,0.0489,0.0261,0.0132,-0.0261,braking
0.9913,1.458,0.3001,1.8288,0.9913,0.8375,0.2622,0.1849,-0.2622,speed_hump
0.9822,0.9873,0.0057,0.9994,0.98,0.0195,0.0195,0.0074,-0.0094,braking
0.987,1.0017,0.0094,1.0143,0.987,0.0273,0.0166,0.0101,-0.0074,normal
0.9823,0.9965,0.012,1.0171,0.9739,0.0433,0.0348,0.0161,-0.0348,normal
1.0055,1.0134,0.0056,1.0233,1.0053,0.0179,0.0153,0.0078,-0.0084,braking
0.9847,1.1019,0.465,2.4396,0.5614,1.8782,1.8782,0.4226,0.4233,pothole
0.9741,1.2297,0.1515,1.4372,0.9741,0.4631,0.1526,0.0993,-0.1526,speed_hump
0.9809,1.2198,0.8673,3.7664,0.4073,3.3591,3.3591,0.7599,0.5736,pothole
1.0261,0.9968,0.0151,1.0261,0.9762,0.0499,0.0259,0.0102,0.0126,braking
0.9807,0.9974,0.0081,1.0099,0.9807,0.0292,0.019,0.0098,-0.014,normal
1.0092,1.0016,0.0071,1.0113,0.9895,0.0219,0.0195,0.0107,0.0118,normal
1.0407,1.0213,0.011,1.0407,1.0052,0.0355,0.0112,0.0049,0.0031,braking
1.0164,0.9961,0.0112,1.0164,0.9803,0.0361,0.0198,0.0118,0.0196,normal
0.9807,0.9926,0.0156,1.0167,0.9674,0.0493,0.0356,0.0162,0.0132,braking
0.998,0.9978,0.0116,1.0105,0.9734,0.0371,0.027,0.0099,-0.0119,normal
1.0191,0.9996,0.0106,1.0191,0.982,0.037,0.0343,0.0134,0.0249,normal
0.9863,0.9977,0.008,1.0103,0.9851,0.0252,0.0175,0.0115,-0.0144,normal
1.0003,1.0035,0.0081,1.0169,0.9931,0.0238,0.0206,0.0106,-0.0001,normal
0.9926,0.9986,0.0129,1.0182,0.9841,0.0341,0.0293,0.0175,-0.0135,normal
0.9732,1.2002,0.8837,3.7685,0.2627,3.5058,3.5058,0.7827,0.7105,pothole
0.994,0.9975,0.0121,1.0207,0.9731,0.0476,0.0294,0.012,0.0036,normal
0.9958,0.993,0.0163,1.0201,0.9712,0.0489,0.0456,0.021,0.023,normal
0.979,0.9987,0.0095,1.013,0.979,0.034,0.0274,0.0114,-0.0267,normal
1.008,1.0036,0.0166,1.0289,0.9715,0.0574,0.0366,0.0192,0.0366,normal
1.0098,0.9999,0.0105,1.0125,0.9814,0.0311,0.0285,0.0143,0.0285,normal
0.9877,1.0023,0.0089,1.0144,0.987,0.0273,0.0147,0.0074,0.0007,braking
1.0153,1.0035,0.0124,1.0234,0.9792,0.0442,0.0442,0.018,0.0156,normal
0.9952,1.0026,0.015,1.0255,0.9845,0.041,0.0377,0.0157,-0.0196,normal
0.9907,1.0026,0.0072,1.0184,0.9907,0.0277,0.0197,0.0085,-0.0104,normal
0.9839,0.9924,0.0142,1.0248,0.9733,0.0515,0.0225,0.0124,0.0106,braking
0.9929,1.3619,0.2283,1.6395,0.9929,0.6466,0.2243,0.1425,-0.2243,speed_hump
1.0137,1.0013,0.0135,1.0201,0.9735,0.0467,0.0365,0.0207,0.0315,normal
1.0212,1.4198,0.2494,1.7242,1.0212,0.703,0.2248,0.1515,-0.2096,speed_hump
1.0193,1.0644,0.3878,2.1383,0.5012,1.637,1.637,0.3742,0.5181,pothole
0.9932,0.9954,0.0163,1.0351,0.9745,0.0606,0.0471,0.0192,0.0043,normal
1.0192,1.0001,0.0149,1.025,0.9737,0.0513,0.0455,0.0209,0.0455,normal
0.9826,1.0037,0.0144,1.0269,0.9826,0.0443,0.0268,0.0092,-0.0083,braking
1.0104,0.9963,0.0124,1.0149,0.9747,0.0402,0.0269,0.0163,0.0097,normal
0.9989,0.9961,0.0069,1.0084,0.9831,0.0252,0.0171,0.009,0.0052,normal
1.0318,1.1417,0.7204,3.1864,0.2202,2.9662,2.9662,0.6795,0.8115,pothole
1.0133,1.2115,0.7979,3.5656,0.5188,3.0468,3.0468,0.6805,0.4945,pothole
0.9922,1.1595,0.7401,3.2986,0.3308,2.9679,2.9679,0.6658,0.6614,pothole
0.9909,1.6517,0.4178,2.1544,0.9909,1.1635,0.4009,0.2583,-0.3968,speed_hump
0.9993,1.0011,0.0127,1.0201,0.9761,0.044,0.0346,0.0199,0.0078,normal
1.0115,1.0049,0.0141,1.0352,0.9871,0.0481,0.0481,0.0168,0.0043,normal
1.0206,1.3557,0.2204,1.6134,0.9931,0.6203,0.2255,0.1348,-0.2074,speed_hump
0.9795,1.0686,0.4179,2.2359,0.4867,1.7492,1.7492,0.4012,0.4929,pothole
0.9797,1.5428,0.3419,1.9299,0.9797,0.9502,0.33,0.2068,-0.33,speed_hump
0.9872,1.3208,0.2038,1.5825,0.9872,0.5953,0.23,0.1307,-0.23,speed_hump
0.9957,1.0717,0.3721,2.1264,0.5921,1.5342,1.5342,0.3447,0.4036,pothole
1.0066,1.1075,0.5585,2.691,0.3887,2.3022,2.3022,0.5206,0.6178,pothole
1.0044,1.1258,0.5408,2.685,0.5078,2.1773,2.1773,0.4916,0.4966,pothole
1.0331,1.0126,0.0104,1.0331,0.9946,0.0385,0.0251,0.0144,0.0247,braking
1.0002,0.9999,0.0075,1.0169,0.9869,0.03,0.03,0.0103,0.0014,normal
1.0066,0.9979,0.0098,1.0126,0.9794,0.0332,0.0332,0.0127,-0.0017,normal
1.022,1.0036,0.0122,1.022,0.9856,0.0363,0.0303,0.0146,0.0112,normal
1.0294,1.0079,0.0114,1.0294,0.9912,0.0383,0.0364,0.0149,0.0364,normal
0.9637,1.0651,0.4232,2.2209,0.416,1.8049,1.8049,0.3998,0.5477,pothole
0.9589,1.4897,0.316,1.8657,0.9589,0.9068,0.3511,0.195,-0.3511,speed_hump
0.9918,1.5441,0.3367,1.9468,0.9918,0.955,0.3529,0.2084,-0.3529,speed_hump
0.9865,0.9908,0.0108,1.0059,0.9657,0.0402,0.0402,0.0133,-0.0032,normal
0.9782,0.9987,0.0134,1.0183,0.9782,0.0401,0.0161,0.0084,-0.0105,braking
1.0004,0.9928,0.0136,1.0201,0.9736,0.0465,0.0256,0.0175,0.0244,normal
1.0487,1.4823,0.3097,1.8764,0.9824,0.894,0.2782,0.1913,-0.2191,speed_hump
1.0167,1.0047,0.0086,1.017,0.9903,0.0267,0.0267,0.0112,0.0079,normal
0.9883,1.6656,0.4146,2.1739,0.9883,1.1857,0.4115,0.2565,-0.4115,speed_hump
0.9898,0.9915,0.0096,1.0054,0.978,0.0274,0.0263,0.0135,-0.0065,braking
1.0097,0.9989,0.0118,1.021,0.9849,0.0361,0.0305,0.01,-0.0026,normal
1.0177,1.0061,0.0084,1.0189,0.9905,0.0283,0.0143,0.008,0.0109,braking
0.9905,0.9945,0.0133,1.0167,0.9749,0.0419,0.041,0.0197,0.0156,braking
1.0203,1.01,0.0084,1.0203,0.995,0.0253,0.0188,0.0124,0.0187,braking
1.0017,0.9982,0.0102,1.0141,0.9811,0.0329,0.0242,0.011,0.016,normal
1.0179,1.3924,0.2393,1.662,1.0179,0.6441,0.2185,0.1425,-0.2185,speed_hump
0.9948,1.0032,0.0108,1.0194,0.9889,0.0305,0.0305,0.0119,-0.0172,normal
1.0246,1.0008,0.0103,1.0246,0.9897,0.0349,0.018,0.011,0.018,normal
0.9958,1.1717,0.7164,3.2736,0.4936,2.78,2.78,0.6257,0.5022,pothole
0.994,1.231,0.8347,3.7084,0.5959,3.1125,3.1125,0.7072,0.3981,pothole
0.9963,0.9994,0.0123,1.0179,0.9776,0.0403,0.0274,0.0143,0.0019,normal
1.0358,1.0122,0.0147,1.0358,0.9922,0.0436,0.0119,0.006,0.0016,braking
1.0165,1.5634,0.3471,1.9808,1.0055,0.9753,0.3619,0.2155,-0.3198,speed_hump
1.021,1.0156,0.012,1.0361,0.9997,0.0364,0.0192,0.0101,-0.0107,braking
1.0204,1.2173,0.8688,3.775,0.4358,3.3392,3.3392,0.7527,0.5846,pothole
0.9862,1.5763,0.3786,2.0304,0.9774,1.053,0.3529,0.233,-0.3529,speed_hump
0.978,1.077,0.4446,2.3178,0.454,1.8638,1.8638,0.4196,0.524,pothole
1.0013,1.0062,0.0093,1.0287,0.9927,0.036,0.0291,0.0087,-0.0073,normal
0.9594,1.0754,0.4691,2.3854,0.4207,1.9647,1.9647,0.4368,0.5387,pothole
1.0346,1.0219,0.0103,1.0404,1.0023,0.0381,0.0176,0.0074,0.0052,braking
1.0112,1.1719,0.7764,3.4124,0.2913,3.1211,3.1211,0.7039,0.7199,pothole
0.9963,1.2596,0.1649,1.4622,0.9855,0.4766,0.1885,0.1047,-0.1711,speed_hump
1.0039,1.0915,0.5612,2.6394,0.2616,2.3778,2.3778,0.5399,0.7423,pothole
0.9923,0.9998,0.01,1.0163,0.9856,0.0306,0.0241,0.0107,-0.0121,normal
1.002,1.0032,0.0094,1.0184,0.9926,0.0257,0.0205,0.0087,0.0067,normal
1.005,1.0543,0.4527,2.2533,0.2879,1.9654,1.9654,0.4451,0.7172,pothole
1.0172,1.168,0.7778,3.4077,0.2701,3.1376,3.1376,0.7173,0.7471,pothole
0.9615,0.9816,0.0125,1.0025,0.9615,0.041,0.0244,0.0115,-0.0124,braking
0.9859,0.9955,0.0153,1.0246,0.9648,0.0598,0.0598,0.0183,-0.0143,normal
0.9696,0.9948,0.0128,1.0124,0.9696,0.0428,0.021,0.0146,-0.0158,braking
1.0085,1.0641,0.363,2.0702,0.5391,1.531,1.531,0.3525,0.4694,pothole
0.9824,0.9997,0.0104,1.0186,0.9824,0.0362,0.0335,0.0099,-0.0027,normal
1.0024,0.9966,0.0094,1.011,0.9796,0.0314,0.0197,0.0116,0.0119,normal
1.0253,1.6058,0.3776,2.0612,1.0065,1.0547,0.3448,0.2323,-0.3288,speed_hump
1.0054,1.1925,0.8609,3.695,0.2799,3.4152,3.4152,0.7647,0.7256,pothole
0.9925,1.1873,0.7407,3.3664,0.5137,2.8526,2.8526,0.6452,0.4788,pothole
0.9667,0.9829,0.0101,1.0054,0.9667,0.0387,0.018,0.009,-0.0123,braking
1.0197,1.1561,0.7105,3.2132,0.374,2.8393,2.8393,0.6382,0.6457,pothole
0.9883,1.0038,0.0098,1.0222,0.9883,0.0339,0.0237,0.011,-0.0098,braking
0.9799,0.9971,0.0105,1.016,0.9799,0.0361,0.0361,0.0148,-0.0361,normal
1.0109,1.005,0.0107,1.0194,0.9854,0.034,0.031,0.016,0.0182,normal
1.0086,1.3149,0.1952,1.5413,0.9906,0.5507,0.2193,0.1204,-0.177,speed_hump
0.9922,0.9971,0.0096,1.0127,0.9788,0.0339,0.0222,0.0132,-0.0146,normal
1.0133,1.0084,0.0114,1.0303,0.9936,0.0367,0.0367,0.0131,0.0062,normal
1.0065,1.0054,0.0082,1.019,0.9944,0.0246,0.0218,0.0119,0.0121,normal
0.9917,0.997,0.0093,1.0203,0.9842,0.0362,0.0278,0.011,-0.0032,normal
0.997,1.1273,0.6424,2.9607,0.3354,2.6253,2.6253,0.5971,0.6616,pothole
0.9969,1.5121,0.3223,1.9016,0.9904,0.9112,0.3479,0.2018,-0.3353,speed_hump
0.9882,0.9956,0.0087,1.0055,0.9745,0.031,0.031,0.0118,-0.0173,normal
1.0409,1.5441,0.3424,1.9468,1.0039,0.9429,0.3061,0.2054,-0.2775,speed_hump
0.9983,1.0071,0.0164,1.0306,0.9685,0.0621,0.0621,0.0165,-0.0033,normal
1.023,1.0012,0.0176,1.0251,0.9652,0.0598,0.0598,0.0277,0.0305,normal
0.999,1.0031,0.0081,1.0143,0.9863,0.028,0.0242,0.0107,-0.0153,normal
1.0129,1.1214,0.5526,2.7179,0.5002,2.2178,2.2178,0.501,0.5127,pothole
1.0087,1.0018,0.0108,1.015,0.984,0.0311,0.0247,0.0165,0.0247,normal
0.942,0.9715,0.0167,1.0007,0.942,0.0587,0.0283,0.0118,-0.0283,braking
1.0228,1.3412,0.2064,1.6022,1.0147,0.5875,0.1992,0.1297,-0.1748,speed_hump
1.0045,0.9995,0.0069,1.0125,0.9883,0.0242,0.0186,0.0083,0.0099,normal
1.0078,1.0058,0.0111,1.0204,0.9827,0.0377,0.0231,0.0092,0.0038,normal
1.0194,1.3331,0.2026,1.5745,1.0025,0.572,0.2115,0.1252,-0.1876,speed_hump
0.9613,0.9868,0.013,1.0041,0.9613,0.0428,0.0152,0.0081,-0.0089,braking
1.0017,1.0862,0.5529,2.6122,0.2715,2.3407,2.3407,0.5297,0.7303,pothole
1.0214,1.0116,0.0135,1.0367,0.9882,0.0485,0.0192,0.0101,0.0006,braking
1.0071,1.2475,0.1632,1.445,0.9942,0.4508,0.1526,0.0987,-0.1353,speed_hump
0.9929,1.0039,0.0123,1.0253,0.9835,0.0418,0.035,0.0177,-0.0112,normal
0.9844,1.0589,0.3993,2.1355,0.4181,1.7174,1.7174,0.386,0.5663,pothole
0.9925,1.0017,0.0139,1.0256,0.9766,0.049,0.049,0.0207,-0.0108,normal
0.9659,1.3433,0.2347,1.6338,0.9659,0.668,0.2544,0.1458,-0.2377,speed_hump
0.9801,0.9866,0.0133,1.005,0.9669,0.0381,0.0203,0.0093,0.0128,braking
0.9995,1.0013,0.0102,1.0169,0.9827,0.0342,0.0253,0.0123,-0.0119,normal
0.9965,0.9957,0.0121,1.018,0.9742,0.0439,0.0368,0.0191,0.0041,normal
0.9422,0.9645,0.015,0.9854,0.9422,0.0432,0.0199,0.0074,-0.0003,braking
0.9832,1.4868,0.3163,1.8653,0.9686,0.8967,0.3396,0.1976,-0.3191,speed_hump
1.0076,0.9948,0.0118,1.0076,0.9675,0.0401,0.0396,0.0157,0.0135,normal
1.0001,1.0375,0.4066,2.072,0.2803,1.7917,1.7917,0.4023,0.7198,pothole
1.0082,0.9989,0.0149,1.0278,0.9776,0.0502,0.0502,0.0209,0.0167,normal
0.9978,0.9901,0.0079,1.0062,0.9795,0.0267,0.0177,0.008,0.0039,normal
1.0252,1.1308,0.5901,2.8314,0.4558,2.3755,2.3755,0.54,0.5694,pothole
1.0257,1.1839,0.8211,3.5493,0.239,3.3102,3.3102,0.7435,0.7866,pothole
1.0277,1.2545,0.1582,1.4441,0.9904,0.4537,0.1577,0.0967,-0.136,speed_hump
0.9788,1.3841,0.2554,1.6756,0.9744,0.7012,0.272,0.1553,-0.272,speed_hump
0.9898,0.9975,0.01,1.0182,0.987,0.0312,0.0312,0.0152,-0.0041,braking
0.9961,0.9997,0.0161,1.027,0.9742,0.0529,0.0356,0.0189,-0.0157,normal
0.9669,1.1436,0.6779,3.1034,0.3873,2.7161,2.7161,0.6069,0.5796,pothole
1.0052,1.0006,0.0105,1.021,0.984,0.037,0.0297,0.0123,0.0098,normal
1.0103,1.0075,0.0122,1.0209,0.9764,0.0445,0.0291,0.0141,-0.0106,normal
1.005,1.0055,0.0092,1.0184,0.9881,0.0303,0.0284,0.0119,-0.0133,normal
1.016,0.996,0.012,1.016,0.9792,0.0368,0.0368,0.0172,0.0368,normal
1.0094,0.9988,0.0104,1.0134,0.9821,0.0312,0.0274,0.0113,0.0001,normal
0.9929,1.1268,0.6811,3.0608,0.2568,2.804,2.804,0.6315,0.7361,pothole
1.0004,0.9993,0.0102,1.0144,0.9776,0.0368,0.0363,0.0135,0.0065,normal
1.0128,1.3423,0.2131,1.6231,1.0128,0.6102,0.2127,0.1344,-0.1753,speed_hump
0.9995,1.0018,0.0086,1.0165,0.9876,0.0288,0.0201,0.0088,-0.0004,normal
1.0139,1.1313,0.6459,2.9612,0.2948,2.6664,2.6664,0.5989,0.7191,pothole
0.996,1.0027,0.0073,1.0168,0.9888,0.028,0.0158,0.0078,-0.0113,normal
0.9999,1.3744,0.236,1.6719,0.9999,0.672,0.2413,0.1493,-0.2413,speed_hump
0.9987,0.9963,0.0147,1.0173,0.9659,0.0514,0.0478,0.0224,-0.0011,normal
0.9866,0.9862,0.0061,0.9984,0.975,0.0234,0.0137,0.0061,-0.0008,braking
0.9981,1.0004,0.0088,1.0182,0.9851,0.0331,0.0189,0.0097,-0.0059,normal
1.0141,1.1316,0.5593,2.7651,0.5699,2.1952,2.1952,0.4957,0.4442,pothole
1.0043,0.993,0.015,1.0197,0.9751,0.0447,0.0338,0.0233,-0.0154,normal
0.988,1.0371,0.3742,2.0305,0.4088,1.6216,1.6216,0.3781,0.5792,pothole
1.0231,1.0087,0.0096,1.0236,0.9952,0.0284,0.0216,0.0086,0.0216,braking
0.99,0.9983,0.0114,1.0229,0.9832,0.0397,0.0397,0.0131,-0.0106,normal
1.0028,1.0015,0.0103,1.0163,0.982,0.0343,0.0256,0.0117,0.0052,normal
0.9663,0.9906,0.0107,1.0019,0.9663,0.0356,0.0199,0.0084,-0.0101,braking
1.0005,1.1707,0.7696,3.4014,0.3313,3.07,3.07,0.6911,0.6691,pothole
0.9936,0.9975,0.01,1.0113,0.9786,0.0327,0.0208,0.0124,0.015,normal
0.9957,1.0004,0.006,1.0089,0.9901,0.0188,0.0183,0.0081,-0.001,normal
1.0046,1.6592,0.4219,2.1587,0.9639,1.1949,0.4363,0.261,-0.4363,speed_hump
0.9908,0.9932,0.0076,1.0063,0.9787,0.0276,0.0172,0.0081,0.0025,normal
0.9652,0.9889,0.0111,1.0051,0.9652,0.0399,0.017,0.0104,-0.0149,braking
1.0053,0.9965,0.0134,1.0175,0.9715,0.046,0.0309,0.0157,0.0124,normal
1.0055,1.0087,0.0065,1.024,1.002,0.022,0.0211,0.0094,0.001,braking
0.9844,0.9991,0.0127,1.0278,0.9831,0.0447,0.0447,0.0152,0.0013,normal
1.0116,1.0014,0.0159,1.0369,0.9839,0.053,0.0313,0.0159,0.0198,normal
0.9867,1.0856,0.4686,2.4068,0.4626,1.9442,1.9442,0.436,0.5241,pothole
1.0255,1.008,0.0079,1.0255,0.9965,0.029,0.0157,0.0077,0.0157,braking
1.0052,1.206,0.7968,3.5612,0.5395,3.0217,3.0217,0.6785,0.4657,pothole
0.9782,1.258,0.1635,1.4462,0.9782,0.468,0.1681,0.0995,-0.1681,speed_hump
1.0228,1.5355,0.3236,1.9156,1.0228,0.8928,0.302,0.1966,-0.2882,speed_hump
0.9828,0.9867,0.0077,0.9969,0.9727,0.0243,0.0204,0.0073,0.0009,braking
0.9821,1.0023,0.0127,1.0304,0.9821,0.0482,0.034,0.0155,-0.0323,normal
0.972,1.1154,0.5581,2.7266,0.4851,2.2415,2.2415,0.5077,0.4869,pothole
1.0031,1.0035,0.0111,1.0213,0.9857,0.0356,0.0356,0.018,-0.0003,normal
1.0216,1.2599,0.1534,1.4543,1.011,0.4433,0.1709,0.0973,-0.1231,speed_hump
1.0066,0.9996,0.0123,1.0158,0.9745,0.0413,0.024,0.0151,-0.0035,normal
0.9962,1.0,0.0098,1.0243,0.9889,0.0354,0.0354,0.0131,0.0008,braking
1.0032,1.1717,0.7091,3.2516,0.4964,2.7552,2.7552,0.6181,0.5068,pothole
0.9883,0.9959,0.0144,1.0172,0.9635,0.0538,0.0488,0.0156,0.0009,normal
